      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G
   -71.25   -32.75    1950       0       0        0.00        0.00        0.00        0.00        6.99        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950       0       1        0.00        0.00        0.00        9.38        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950       0       2        4.86        5.00        0.00        6.42        6.55        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950       0       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950       0       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     110       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     110       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     110       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     110       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     110       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     131       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     131       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     131       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     131       3        3.34        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     131       4        0.00        2.29        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     132       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     132       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
   -71.25   -32.75    1950     132       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
